SALE_DATE;CUSTOMER_NR;PRODUCT_NR;CASH_POINT_NR;QTY;AMOUNT;CASH_OR_PLASTIC;CASHIER_EMP_NR;DISPLAY_PROD_CAT_NR;EXTRACT_DATE
2019-06-28;122;P00000409;15;4;25.2;C;30;56;"2022-11-02 00:00:00.000000"
2019-06-29;84;P00000409;36;1;0;P;28;17;"2022-11-02 00:00:00.000000"
2019-06-29;84;P00000409;36;1;0;P;28;17;"2022-11-02 00:00:00.000000"
2019-06-30;46;P00000409;57;13;217.1;C;26;98;"2022-11-02 00:00:00.000000"
2019-06-30;46;P00000409;57;13;217.1;C;26;98;"2022-11-02 00:00:00.000000"
2019-07-01;8;P00000409;78;10;104;C;24;29;"2022-11-02 00:00:00.000000"
2019-07-01;8;P00000409;78;10;104;C;24;29;"2022-11-02 00:00:00.000000"
2019-07-02;465;P00000409;1;7;28.7;P;22;16;"2022-11-02 00:00:00.000000"
2019-07-02;465;P00000409;1;7;28.7;P;22;16;"2022-11-02 00:00:00.000000"
2019-07-03;427;P00000409;22;4;83.2;C;20;66;"2022-11-02 00:00:00.000000"
2019-07-03;427;P00000409;22;4;83.2;C;20;66;"2022-11-02 00:00:00.000000"
2019-07-04;389;P00000409;43;1;14.5;C;18;76;"2022-11-02 00:00:00.000000"
2019-07-04;389;P00000409;43;1;14.5;C;18;76;"2022-11-02 00:00:00.000000"
2019-07-05;351;P00000409;64;13;106.6;P;16;74;"2022-11-02 00:00:00.000000"
2019-07-05;351;P00000409;64;13;106.6;P;16;74;"2022-11-02 00:00:00.000000"
2019-07-06;313;P00000409;85;10;19;C;14;48;"2022-11-02 00:00:00.000000"
2019-07-06;313;P00000409;85;10;19;C;14;48;"2022-11-02 00:00:00.000000"
2019-07-07;275;P00000409;8;7;130.2;C;12;82;"2022-11-02 00:00:00.000000"
2019-07-07;275;P00000409;8;7;130.2;C;12;82;"2022-11-02 00:00:00.000000"
2019-07-08;237;P00000409;29;4;49.2;P;10;63;"2022-11-02 00:00:00.000000"
2019-07-08;237;P00000409;29;4;49.2;P;10;63;"2022-11-02 00:00:00.000000"
2019-07-09;199;P00000409;50;1;6;C;8;102;"2022-11-02 00:00:00.000000"
2019-07-09;199;P00000409;50;1;6;C;8;102;"2022-11-02 00:00:00.000000"
2019-07-10;161;P00000409;71;13;295.1;C;6;103;"2022-11-02 00:00:00.000000"
2019-07-10;161;P00000409;71;13;295.1;C;6;103;"2022-11-02 00:00:00.000000"
2019-07-11;123;P00000409;92;10;164;P;4;23;"2022-11-02 00:00:00.000000"
2019-07-11;123;P00000409;92;10;164;P;4;23;"2022-11-02 00:00:00.000000"
2019-07-12;85;P00000409;15;7;70.7;C;2;67;"2022-11-02 00:00:00.000000"
2019-07-12;85;P00000409;15;7;70.7;C;2;67;"2022-11-02 00:00:00.000000"
2019-07-13;47;P00000409;36;4;15.2;C;49;45;"2022-11-02 00:00:00.000000"
2019-07-13;47;P00000409;36;4;15.2;C;49;45;"2022-11-02 00:00:00.000000"
2019-07-14;9;P00000409;57;1;20.5;P;47;114;"2022-11-02 00:00:00.000000"
2019-07-14;9;P00000409;57;1;20.5;P;47;114;"2022-11-02 00:00:00.000000"
2019-07-15;466;P00000409;78;13;184.6;C;45;81;"2022-11-02 00:00:00.000000"
2019-07-15;466;P00000409;78;13;184.6;C;45;81;"2022-11-02 00:00:00.000000"
2019-07-16;428;P00000409;1;10;79;C;43;2;"2022-11-02 00:00:00.000000"
2019-07-16;428;P00000409;1;10;79;C;43;2;"2022-11-02 00:00:00.000000"
2019-07-17;390;P00000409;22;7;11.2;P;41;118;"2022-11-02 00:00:00.000000"
2019-07-17;390;P00000409;22;7;11.2;P;41;118;"2022-11-02 00:00:00.000000"
2019-07-18;352;P00000408;43;4;73.2;C;39;85;"2022-11-02 00:00:00.000000"
2019-07-18;352;P00000408;43;4;73.2;C;39;85;"2022-11-02 00:00:00.000000"
2019-07-19;314;P00000408;64;1;12;C;37;26;"2022-11-02 00:00:00.000000"
2019-07-19;314;P00000408;64;1;12;C;37;26;"2022-11-02 00:00:00.000000"
2019-07-20;276;P00000408;85;13;74.1;P;35;65;"2022-11-02 00:00:00.000000"
2019-07-20;276;P00000408;85;13;74.1;P;35;65;"2022-11-02 00:00:00.000000"
2019-07-21;238;P00000408;8;10;224;C;33;86;"2022-11-02 00:00:00.000000"
2019-07-21;238;P00000408;8;10;224;C;33;86;"2022-11-02 00:00:00.000000"
2019-07-22;200;P00000408;29;7;112.7;C;31;47;"2022-11-02 00:00:00.000000"
2019-07-22;200;P00000408;29;7;112.7;C;31;47;"2022-11-02 00:00:00.000000"
2019-07-23;162;P00000408;50;4;39.2;P;29;79;"2022-11-02 00:00:00.000000"
2019-07-23;162;P00000408;50;4;39.2;P;29;79;"2022-11-02 00:00:00.000000"
2019-07-24;124;P00000408;71;1;3.5;C;27;42;"2022-11-02 00:00:00.000000"
2019-07-24;124;P00000408;71;1;3.5;C;27;42;"2022-11-02 00:00:00.000000"
2019-07-25;86;P00000408;92;13;262.6;C;25;112;"2022-11-02 00:00:00.000000"
2019-07-25;86;P00000408;92;13;262.6;C;25;112;"2022-11-02 00:00:00.000000"
2019-07-26;48;P00000408;15;10;139;P;23;27;"2022-11-02 00:00:00.000000"
2019-07-26;48;P00000408;15;10;139;P;23;27;"2022-11-02 00:00:00.000000"
2019-07-27;10;P00000408;36;7;53.2;C;21;113;"2022-11-02 00:00:00.000000"
2019-07-27;10;P00000408;36;7;53.2;C;21;113;"2022-11-02 00:00:00.000000"
2019-07-28;467;P00000408;57;4;5.2;C;19;13;"2022-11-02 00:00:00.000000"
2019-07-28;467;P00000408;57;4;5.2;C;19;13;"2022-11-02 00:00:00.000000"
2019-07-29;429;P00000408;78;1;18;P;17;36;"2022-11-02 00:00:00.000000"
2019-07-29;429;P00000408;78;1;18;P;17;36;"2022-11-02 00:00:00.000000"
2019-07-30;391;P00000408;1;13;152.1;C;15;31;"2022-11-02 00:00:00.000000"
2019-07-30;391;P00000408;1;13;152.1;C;15;31;"2022-11-02 00:00:00.000000"
2019-07-31;353;P00000408;22;10;54;C;13;56;"2022-11-02 00:00:00.000000"
2019-07-31;353;P00000408;22;10;54;C;13;56;"2022-11-02 00:00:00.000000"
2019-08-01;315;P00000408;43;7;154.7;P;11;17;"2022-11-02 00:00:00.000000"
2019-08-01;315;P00000408;43;7;154.7;P;11;17;"2022-11-02 00:00:00.000000"
2019-08-02;277;P00000408;64;4;63.2;C;9;98;"2022-11-02 00:00:00.000000"
2019-08-02;277;P00000408;64;4;63.2;C;9;98;"2022-11-02 00:00:00.000000"
2019-08-03;239;P00000408;85;1;9.5;C;7;29;"2022-11-02 00:00:00.000000"
2019-08-03;239;P00000408;85;1;9.5;C;7;29;"2022-11-02 00:00:00.000000"
2019-08-04;201;P00000408;8;13;41.6;P;5;16;"2022-11-02 00:00:00.000000"
2019-08-04;201;P00000408;8;13;41.6;P;5;16;"2022-11-02 00:00:00.000000"
2019-08-05;163;P00000408;29;10;199;C;3;66;"2022-11-02 00:00:00.000000"
2019-08-05;163;P00000408;29;10;199;C;3;66;"2022-11-02 00:00:00.000000"
2019-08-06;125;P00000408;50;7;95.2;C;1;76;"2022-11-02 00:00:00.000000"
2019-08-06;125;P00000408;50;7;95.2;C;1;76;"2022-11-02 00:00:00.000000"
2019-08-07;87;P00000408;71;4;29.2;P;48;74;"2022-11-02 00:00:00.000000"
2019-08-07;87;P00000408;71;4;29.2;P;48;74;"2022-11-02 00:00:00.000000"
2019-08-08;49;P00000408;92;1;1;C;46;48;"2022-11-02 00:00:00.000000"
2019-08-08;49;P00000408;92;1;1;C;46;48;"2022-11-02 00:00:00.000000"
2019-08-09;11;P00000408;15;13;230.1;C;44;82;"2022-11-02 00:00:00.000000"
2019-08-09;11;P00000408;15;13;230.1;C;44;82;"2022-11-02 00:00:00.000000"
2019-08-10;468;P00000408;36;10;114;P;42;63;"2022-11-02 00:00:00.000000"
2019-08-10;468;P00000408;36;10;114;P;42;63;"2022-11-02 00:00:00.000000"
2019-08-11;430;P00000408;57;7;35.7;C;40;102;"2022-11-02 00:00:00.000000"
2019-08-11;430;P00000408;57;7;35.7;C;40;102;"2022-11-02 00:00:00.000000"
2019-08-12;392;P00000408;78;4;87.2;C;38;103;"2022-11-02 00:00:00.000000"
2019-08-12;392;P00000408;78;4;87.2;C;38;103;"2022-11-02 00:00:00.000000"
2019-08-13;354;P00000408;1;1;15.5;P;36;23;"2022-11-02 00:00:00.000000"
2019-08-13;354;P00000408;1;1;15.5;P;36;23;"2022-11-02 00:00:00.000000"
2019-08-14;316;P00000408;22;13;119.6;C;34;67;"2022-11-02 00:00:00.000000"
2019-08-14;316;P00000408;22;13;119.6;C;34;67;"2022-11-02 00:00:00.000000"
2019-08-15;278;P00000408;43;10;29;C;32;45;"2022-11-02 00:00:00.000000"
2019-08-15;278;P00000408;43;10;29;C;32;45;"2022-11-02 00:00:00.000000"
2019-08-16;240;P00000408;64;7;137.2;P;30;114;"2022-11-02 00:00:00.000000"
2019-08-16;240;P00000408;64;7;137.2;P;30;114;"2022-11-02 00:00:00.000000"
2019-08-17;202;P00000408;85;4;53.2;C;28;81;"2022-11-02 00:00:00.000000"
2019-08-17;202;P00000408;85;4;53.2;C;28;81;"2022-11-02 00:00:00.000000"
2019-08-18;164;P00000408;8;1;7;C;26;2;"2022-11-02 00:00:00.000000"
2019-08-18;164;P00000408;8;1;7;C;26;2;"2022-11-02 00:00:00.000000"
2019-08-19;126;P00000408;29;13;9.1;P;24;118;"2022-11-02 00:00:00.000000"
2019-08-19;126;P00000408;29;13;9.1;P;24;118;"2022-11-02 00:00:00.000000"
2019-08-20;88;P00000408;50;10;174;C;22;85;"2022-11-02 00:00:00.000000"
2019-08-20;88;P00000408;50;10;174;C;22;85;"2022-11-02 00:00:00.000000"
2019-08-21;50;P00000408;71;7;77.7;C;20;26;"2022-11-02 00:00:00.000000"
2019-08-21;50;P00000408;71;7;77.7;C;20;26;"2022-11-02 00:00:00.000000"
2019-08-22;12;P00000408;92;4;19.2;P;18;65;"2022-11-02 00:00:00.000000"
2019-08-22;12;P00000408;92;4;19.2;P;18;65;"2022-11-02 00:00:00.000000"
2019-08-23;469;P00000408;15;1;21.5;C;16;86;"2022-11-02 00:00:00.000000"
2019-08-23;469;P00000408;15;1;21.5;C;16;86;"2022-11-02 00:00:00.000000"
2019-08-24;431;P00000408;36;13;197.6;C;14;47;"2022-11-02 00:00:00.000000"
2019-08-24;431;P00000408;36;13;197.6;C;14;47;"2022-11-02 00:00:00.000000"
2019-08-25;393;P00000408;57;10;89;P;12;79;"2022-11-02 00:00:00.000000"
2019-08-25;393;P00000408;57;10;89;P;12;79;"2022-11-02 00:00:00.000000"
2019-08-26;355;P00000407;78;7;18.2;C;10;42;"2022-11-02 00:00:00.000000"
2019-08-26;355;P00000407;78;7;18.2;C;10;42;"2022-11-02 00:00:00.000000"
2019-08-27;317;P00000407;1;4;77.2;C;8;112;"2022-11-02 00:00:00.000000"
2019-08-27;317;P00000407;1;4;77.2;C;8;112;"2022-11-02 00:00:00.000000"
2019-08-28;279;P00000407;22;1;13;P;6;27;"2022-11-02 00:00:00.000000"
2019-08-28;279;P00000407;22;1;13;P;6;27;"2022-11-02 00:00:00.000000"
2019-08-29;241;P00000407;43;13;87.1;C;4;113;"2022-11-02 00:00:00.000000"
2019-08-29;241;P00000407;43;13;87.1;C;4;113;"2022-11-02 00:00:00.000000"
2019-08-30;203;P00000407;64;10;4;C;2;13;"2022-11-02 00:00:00.000000"
2019-08-30;203;P00000407;64;10;4;C;2;13;"2022-11-02 00:00:00.000000"
2019-08-31;165;P00000407;85;7;119.7;P;49;36;"2022-11-02 00:00:00.000000"
2019-08-31;165;P00000407;85;7;119.7;P;49;36;"2022-11-02 00:00:00.000000"
2019-09-01;127;P00000407;8;4;43.2;C;47;31;"2022-11-02 00:00:00.000000"
2019-09-01;127;P00000407;8;4;43.2;C;47;31;"2022-11-02 00:00:00.000000"
2019-09-02;89;P00000407;29;1;4.5;C;45;56;"2022-11-02 00:00:00.000000"
2019-09-02;89;P00000407;29;1;4.5;C;45;56;"2022-11-02 00:00:00.000000"
2019-09-03;51;P00000407;50;13;275.6;P;43;17;"2022-11-02 00:00:00.000000"
2019-09-03;51;P00000407;50;13;275.6;P;43;17;"2022-11-02 00:00:00.000000"
2019-05-06;291;P00000386;78;13;197.6;P;17;118;"2022-11-02 00:00:00.000000"
2019-05-06;291;P00000386;78;13;197.6;P;17;118;"2022-11-02 00:00:00.000000"
2019-05-07;253;P00000386;1;10;89;C;15;85;"2022-11-02 00:00:00.000000"
2019-05-07;253;P00000386;1;10;89;C;15;85;"2022-11-02 00:00:00.000000"
2019-05-08;215;P00000386;22;7;18.2;C;13;26;"2022-11-02 00:00:00.000000"
2019-05-08;215;P00000386;22;7;18.2;C;13;26;"2022-11-02 00:00:00.000000"
2020-01-16;51;P00000422;43;13;152.1;P;4;17;"2022-11-02 00:00:00.000000"
2020-01-16;51;P00000422;43;13;152.1;P;4;17;"2022-11-02 00:00:00.000000"
2020-01-17;13;P00000422;64;10;54;C;2;98;"2022-11-02 00:00:00.000000"
2020-01-17;13;P00000422;64;10;54;C;2;98;"2022-11-02 00:00:00.000000"
2020-01-18;470;P00000422;85;7;154.7;C;49;29;"2022-11-02 00:00:00.000000"
2020-01-18;470;P00000422;85;7;154.7;C;49;29;"2022-11-02 00:00:00.000000"
2020-01-19;432;P00000422;8;4;63.2;P;47;16;"2022-11-02 00:00:00.000000"
2020-01-19;432;P00000422;8;4;63.2;P;47;16;"2022-11-02 00:00:00.000000"
2020-01-20;394;P00000422;29;1;9.5;C;45;66;"2022-11-02 00:00:00.000000"
2020-01-20;394;P00000422;29;1;9.5;C;45;66;"2022-11-02 00:00:00.000000"
2020-01-21;356;P00000422;50;13;41.6;C;43;76;"2022-11-02 00:00:00.000000"
2020-01-21;356;P00000422;50;13;41.6;C;43;76;"2022-11-02 00:00:00.000000"
2020-01-22;318;P00000422;71;10;199;P;41;74;"2022-11-02 00:00:00.000000"
2020-01-22;318;P00000422;71;10;199;P;41;74;"2022-11-02 00:00:00.000000"
2020-01-23;280;P00000421;92;7;95.2;C;39;48;"2022-11-02 00:00:00.000000"
2020-01-23;280;P00000421;92;7;95.2;C;39;48;"2022-11-02 00:00:00.000000"
2020-01-24;242;P00000421;15;4;29.2;C;37;82;"2022-11-02 00:00:00.000000"
2020-01-24;242;P00000421;15;4;29.2;C;37;82;"2022-11-02 00:00:00.000000"
2020-01-25;204;P00000421;36;1;1;P;35;63;"2022-11-02 00:00:00.000000"
2020-01-25;204;P00000421;36;1;1;P;35;63;"2022-11-02 00:00:00.000000"
2020-09-21;39;P00000353;78;1;18;P;10;63;"2022-11-02 00:00:00.000000"
2020-09-21;39;P00000353;78;1;18;P;10;63;"2022-11-02 00:00:00.000000"
2019-01-01;501;P00000353;1;13;152.1;C;8;102;"2022-11-02 00:00:00.000000"
2019-01-02;458;P00000353;22;10;54;C;6;103;"2022-11-02 00:00:00.000000"
2019-01-02;458;P00000353;22;10;54;C;6;103;"2022-11-02 00:00:00.000000"
2019-01-03;420;P00000353;43;7;154.7;P;4;23;"2022-11-02 00:00:00.000000"
2019-01-03;420;P00000353;43;7;154.7;P;4;23;"2022-11-02 00:00:00.000000"
2019-01-04;382;P00000353;64;4;63.2;C;2;67;"2022-11-02 00:00:00.000000"
2019-01-04;382;P00000353;64;4;63.2;C;2;67;"2022-11-02 00:00:00.000000"
2019-01-05;344;P00000353;85;1;9.5;C;49;45;"2022-11-02 00:00:00.000000"
2019-01-05;344;P00000353;85;1;9.5;C;49;45;"2022-11-02 00:00:00.000000"
2019-01-06;306;P00000353;8;13;41.6;P;47;114;"2022-11-02 00:00:00.000000"
2019-01-06;306;P00000353;8;13;41.6;P;47;114;"2022-11-02 00:00:00.000000"
2019-01-07;268;P00000353;29;10;199;C;45;81;"2022-11-02 00:00:00.000000"
2019-01-07;268;P00000353;29;10;199;C;45;81;"2022-11-02 00:00:00.000000"
2019-01-08;230;P00000353;50;7;95.2;C;43;2;"2022-11-02 00:00:00.000000"
2019-01-08;230;P00000353;50;7;95.2;C;43;2;"2022-11-02 00:00:00.000000"
2019-01-09;192;P00000353;71;4;29.2;P;41;118;"2022-11-02 00:00:00.000000"
2019-01-09;192;P00000353;71;4;29.2;P;41;118;"2022-11-02 00:00:00.000000"
2019-01-10;154;P00000353;92;1;1;C;39;85;"2022-11-02 00:00:00.000000"
2019-01-10;154;P00000353;92;1;1;C;39;85;"2022-11-02 00:00:00.000000"
2019-01-11;116;P00000353;15;13;230.1;C;37;26;"2022-11-02 00:00:00.000000"
2019-01-11;116;P00000353;15;13;230.1;C;37;26;"2022-11-02 00:00:00.000000"
2019-01-12;78;P00000353;36;10;114;P;35;65;"2022-11-02 00:00:00.000000"
2019-01-12;78;P00000353;36;10;114;P;35;65;"2022-11-02 00:00:00.000000"
2019-01-13;40;P00000353;57;7;35.7;C;33;86;"2022-11-02 00:00:00.000000"
2019-01-13;40;P00000353;57;7;35.7;C;33;86;"2022-11-02 00:00:00.000000"
2019-01-14;502;P00000353;78;4;87.2;C;31;47;"2022-11-02 00:00:00.000000"
2019-01-15;459;P00000353;1;1;15.5;P;29;79;"2022-11-02 00:00:00.000000"
2019-01-15;459;P00000353;1;1;15.5;P;29;79;"2022-11-02 00:00:00.000000"
2019-01-16;421;P00000353;22;13;119.6;C;27;42;"2022-11-02 00:00:00.000000"
2019-01-16;421;P00000353;22;13;119.6;C;27;42;"2022-11-02 00:00:00.000000"
2019-01-17;383;P00000353;43;10;29;C;25;112;"2022-11-02 00:00:00.000000"
2019-01-17;383;P00000353;43;10;29;C;25;112;"2022-11-02 00:00:00.000000"
2019-01-18;345;P00000353;64;7;137.2;P;23;27;"2022-11-02 00:00:00.000000"
2019-01-18;345;P00000353;64;7;137.2;P;23;27;"2022-11-02 00:00:00.000000"
2019-01-19;307;P00000353;85;4;53.2;C;21;113;"2022-11-02 00:00:00.000000"
2019-01-19;307;P00000353;85;4;53.2;C;21;113;"2022-11-02 00:00:00.000000"
2019-01-20;269;P00000353;8;1;7;C;19;13;"2022-11-02 00:00:00.000000"
2019-01-20;269;P00000353;8;1;7;C;19;13;"2022-11-02 00:00:00.000000"
2019-01-21;231;P00000353;29;13;9.1;P;17;36;"2022-11-02 00:00:00.000000"
2019-01-21;231;P00000353;29;13;9.1;P;17;36;"2022-11-02 00:00:00.000000"
2019-01-22;193;P00000353;50;10;174;C;15;31;"2022-11-02 00:00:00.000000"
2019-01-22;193;P00000353;50;10;174;C;15;31;"2022-11-02 00:00:00.000000"
2019-01-23;155;P00000353;71;7;77.7;C;13;56;"2022-11-02 00:00:00.000000"
2019-01-23;155;P00000353;71;7;77.7;C;13;56;"2022-11-02 00:00:00.000000"
2019-01-24;117;P00000353;92;4;19.2;P;11;17;"2022-11-02 00:00:00.000000"
2019-01-24;117;P00000353;92;4;19.2;P;11;17;"2022-11-02 00:00:00.000000"
2019-01-25;79;P00000353;15;1;21.5;C;9;98;"2022-11-02 00:00:00.000000"
2019-01-25;79;P00000353;15;1;21.5;C;9;98;"2022-11-02 00:00:00.000000"
2019-01-26;41;P00000353;36;13;197.6;C;7;29;"2022-11-02 00:00:00.000000"
2019-01-26;41;P00000353;36;13;197.6;C;7;29;"2022-11-02 00:00:00.000000"
2019-01-27;503;P00000353;57;10;89;P;5;16;"2022-11-02 00:00:00.000000"
2019-01-28;460;P00000353;78;7;18.2;C;3;66;"2022-11-02 00:00:00.000000"
2019-01-28;460;P00000353;78;7;18.2;C;3;66;"2022-11-02 00:00:00.000000"
2019-01-29;422;P00000353;1;4;77.2;C;1;76;"2022-11-02 00:00:00.000000"
2019-01-29;422;P00000353;1;4;77.2;C;1;76;"2022-11-02 00:00:00.000000"
2019-01-30;384;P00000353;22;1;13;P;48;74;"2022-11-02 00:00:00.000000"
2019-01-30;384;P00000353;22;1;13;P;48;74;"2022-11-02 00:00:00.000000"
2019-01-31;346;P00000353;43;13;87.1;C;46;48;"2022-11-02 00:00:00.000000"
2019-01-31;346;P00000353;43;13;87.1;C;46;48;"2022-11-02 00:00:00.000000"
2019-02-01;308;P00000353;64;10;4;C;44;82;"2022-11-02 00:00:00.000000"
2019-02-01;308;P00000353;64;10;4;C;44;82;"2022-11-02 00:00:00.000000"
2019-02-02;270;P00000353;85;7;119.7;P;42;63;"2022-11-02 00:00:00.000000"
2019-02-02;270;P00000353;85;7;119.7;P;42;63;"2022-11-02 00:00:00.000000"
2019-02-03;232;P00000353;8;4;43.2;C;40;102;"2022-11-02 00:00:00.000000"
2019-02-03;232;P00000353;8;4;43.2;C;40;102;"2022-11-02 00:00:00.000000"
2019-02-04;194;P00000353;29;1;4.5;C;38;103;"2022-11-02 00:00:00.000000"
2019-02-04;194;P00000353;29;1;4.5;C;38;103;"2022-11-02 00:00:00.000000"
2019-03-08;328;P00000361;15;10;129;C;44;66;"2022-11-02 00:00:00.000000"
2019-03-08;328;P00000361;15;10;129;C;44;66;"2022-11-02 00:00:00.000000"
2019-03-09;290;P00000361;36;7;46.2;C;42;76;"2022-11-02 00:00:00.000000"
2019-03-09;290;P00000361;36;7;46.2;C;42;76;"2022-11-02 00:00:00.000000"
2019-03-10;252;P00000361;57;4;1.2;P;40;74;"2022-11-02 00:00:00.000000"
2019-03-10;252;P00000361;57;4;1.2;P;40;74;"2022-11-02 00:00:00.000000"
2019-03-11;214;P00000361;78;1;17;C;38;48;"2022-11-02 00:00:00.000000"
2019-03-11;214;P00000361;78;1;17;C;38;48;"2022-11-02 00:00:00.000000"
2019-03-12;176;P00000361;1;13;139.1;C;36;82;"2022-11-02 00:00:00.000000"
2019-03-12;176;P00000361;1;13;139.1;C;36;82;"2022-11-02 00:00:00.000000"
2019-03-13;138;P00000361;22;10;44;P;34;63;"2022-11-02 00:00:00.000000"
2019-03-13;138;P00000361;22;10;44;P;34;63;"2022-11-02 00:00:00.000000"
2019-03-14;100;P00000361;43;7;147.7;C;32;102;"2022-11-02 00:00:00.000000"
2019-03-14;100;P00000361;43;7;147.7;C;32;102;"2022-11-02 00:00:00.000000"
2019-03-15;62;P00000361;64;4;59.2;C;30;103;"2022-11-02 00:00:00.000000"
2019-03-15;62;P00000361;64;4;59.2;C;30;103;"2022-11-02 00:00:00.000000"
2019-03-16;24;P00000361;85;1;8.5;P;28;23;"2022-11-02 00:00:00.000000"
2019-03-16;24;P00000361;85;1;8.5;P;28;23;"2022-11-02 00:00:00.000000"
2019-03-17;481;P00000361;8;13;28.6;C;26;67;"2022-11-02 00:00:00.000000"
2019-03-17;481;P00000361;8;13;28.6;C;26;67;"2022-11-02 00:00:00.000000"
2019-03-18;443;P00000361;29;10;189;C;24;45;"2022-11-02 00:00:00.000000"
2019-03-18;443;P00000361;29;10;189;C;24;45;"2022-11-02 00:00:00.000000"
2019-03-19;405;P00000361;50;7;88.2;P;22;114;"2022-11-02 00:00:00.000000"
2019-03-19;405;P00000361;50;7;88.2;P;22;114;"2022-11-02 00:00:00.000000"
2019-03-20;367;P00000361;71;4;25.2;C;20;81;"2022-11-02 00:00:00.000000"
2019-03-20;367;P00000361;71;4;25.2;C;20;81;"2022-11-02 00:00:00.000000"
2019-03-21;329;P00000361;92;1;0;C;18;2;"2022-11-02 00:00:00.000000"
2019-03-21;329;P00000361;92;1;0;C;18;2;"2022-11-02 00:00:00.000000"
2019-03-22;291;P00000361;15;13;217.1;P;16;118;"2022-11-02 00:00:00.000000"
2019-03-22;291;P00000361;15;13;217.1;P;16;118;"2022-11-02 00:00:00.000000"
2019-03-23;253;P00000361;36;10;104;C;14;85;"2022-11-02 00:00:00.000000"
2019-03-23;253;P00000361;36;10;104;C;14;85;"2022-11-02 00:00:00.000000"
2019-03-24;215;P00000361;57;7;28.7;C;12;26;"2022-11-02 00:00:00.000000"
2019-03-24;215;P00000361;57;7;28.7;C;12;26;"2022-11-02 00:00:00.000000"
2019-03-25;177;P00000361;78;4;83.2;P;10;65;"2022-11-02 00:00:00.000000"
2019-03-25;177;P00000361;78;4;83.2;P;10;65;"2022-11-02 00:00:00.000000"
2019-03-26;139;P00000361;1;1;14.5;C;8;86;"2022-11-02 00:00:00.000000"
2019-03-26;139;P00000361;1;1;14.5;C;8;86;"2022-11-02 00:00:00.000000"
2019-03-27;101;P00000361;22;13;106.6;C;6;47;"2022-11-02 00:00:00.000000"
2019-03-27;101;P00000361;22;13;106.6;C;6;47;"2022-11-02 00:00:00.000000"
2019-03-28;63;P00000361;43;10;19;P;4;79;"2022-11-02 00:00:00.000000"
2019-03-28;63;P00000361;43;10;19;P;4;79;"2022-11-02 00:00:00.000000"
2019-03-29;25;P00000361;64;7;130.2;C;2;42;"2022-11-02 00:00:00.000000"
2019-03-29;25;P00000361;64;7;130.2;C;2;42;"2022-11-02 00:00:00.000000"
2019-03-30;482;P00000361;85;4;49.2;C;49;112;"2022-11-02 00:00:00.000000"
2019-03-30;482;P00000361;85;4;49.2;C;49;112;"2022-11-02 00:00:00.000000"
