PROD_CAT_NR;PROD_CAT_NAME;PROD_CAT_SHORT_NAME;MNGR_EMP_NR;SOURCING_PROD_GROUP_NR;SALE_PROD_GROUP_NR;EXTRACT_DATE
56;"Lighting & Ceiling Fans";"Cat. 56";90;23;23;"2022-11-12 00:00:00.000000"
27;Fabric;"Cat. 27";103;1;1;"2022-11-17 00:00:00.000000"
103;"Skin Care";"Cat. 103";47;4;4;"2022-11-07 00:00:00.000000"
116;Women;"Cat. 116";51;6;6;"2022-11-14 00:00:00.000000"
71;"Outdoor Décor";"Cat. 71";47;17;17;"2022-11-07 00:00:00.000000"
83;"Pools, Hot Tubs & Supplies";"Cat. 83";47;17;17;"2022-11-07 00:00:00.000000"
70;"Ornaments & Holiday";"Cat. 70";42;8;8;"2022-11-25 00:00:00.000000"
63;"Nintendo Switch";"Cat. 63";83;25;25;"2022-11-24 00:00:00.000000"
6;"Baby Care";"Cat. 6";38;3;3;"2022-11-25 00:00:00.000000"
13;"Cell Phones";"Cat. 13";50;7;7;"2022-11-16 00:00:00.000000"
45;"Industrial Electrical";"Cat. 45";69;7;13;"2022-11-07 00:00:00.000000"
107;"Storage & Organization";"Cat. 107";85;12;12;"2022-11-07 00:00:00.000000"
55;"Legacy Systems";"Cat. 55";57;25;25;"2022-11-14 00:00:00.000000"
92;Puzzles;"Cat. 92";59;24;24;"2022-11-07 00:00:00.000000"
84;"Portable Audio & Video";"Cat. 84";54;7;7;"2022-11-07 00:00:00.000000"
62;Needlework;"Cat. 62";70;1;1;"2022-11-07 00:00:00.000000"
12;"Camera & Photo";"Cat. 12";63;7;7;"2022-11-07 00:00:00.000000"
50;"Kids' Furniture, Décor & Storage";"Cat. 50";49;24;24;"2022-11-07 00:00:00.000000"
1;Accessories;"Cat. 1";58;6;6;"2022-11-07 00:00:00.000000"
46;"Interior Accessories";"Cat. 46";69;2;2;"2022-11-07 00:00:00.000000"
30;Feeding;"Cat. 30";85;3;3;"2022-11-07 00:00:00.000000"
110;"Tailgate & Spirit";"Cat. 110";57;8;8;"2022-11-14 00:00:00.000000"
13;"Cell Phones";"Cat. 13";50;7;7;"2022-11-25 00:00:00.000000"
19;Dogs;"Cat. 19";65;18;18;"2022-11-12 00:00:00.000000"
106;"Stationery & Gift Wrapping Supplies";"Cat. 106";63;10;10;"2022-11-14 00:00:00.000000"
79;"Personal Care";"Cat. 79";62;4;4;"2022-11-12 00:00:00.000000"
44;"Household Supplies";"Cat. 44";73;10;10;"2022-11-21 00:00:00.000000"
44;"Household Supplies";"Cat. 44";73;10;10;"2022-11-27 00:00:00.000000"
64;"Novelty & Gag Toys";"Cat. 64";63;24;24;"2022-11-09 00:00:00.000000"
98;"Science Education";"Cat. 98";55;13;13;"2022-11-20 00:00:00.000000"
45;"Industrial Electrical";"Cat. 45";69;7;13;"2022-11-16 00:00:00.000000"
55;"Legacy Systems";"Cat. 55";57;25;25;"2022-11-20 00:00:00.000000"
110;"Tailgate & Spirit";"Cat. 110";57;8;8;"2022-11-20 00:00:00.000000"
73;PC;"Cat. 73";78;25;25;"2022-11-07 00:00:00.000000"
76;"Pantry Staples";"Cat. 76";94;9;9;"2022-11-07 00:00:00.000000"
51;"Kids' Home Store";"Cat. 51";1;12;12;"2022-11-07 00:00:00.000000"
94;"Remote & App Controlled Vehicles & Parts";"Cat. 94";24;11;11;"2022-11-22 00:00:00.000000"
70;"Ornaments & Holiday";"Cat. 70";1;8;8;"2022-11-07 00:00:00.000000"
89;Printmaking;"Cat. 89";16;1;1;"2022-11-07 00:00:00.000000"
25;"Event & Party Supplies";"Cat. 25";29;12;12;"2022-11-07 00:00:00.000000"
55;"Legacy Systems";"Cat. 55";16;25;25;"2022-11-07 00:00:00.000000"
48;"Kids & Baby";"Cat. 48";83;8;8;"2022-11-07 00:00:00.000000"
87;"Power Plant & Driveline Systems";"Cat. 87";46;19;19;"2022-11-07 00:00:00.000000"
95;"Replacement Parts";"Cat. 95";43;2;2;"2022-11-07 00:00:00.000000"
18;"Diploma Frames";"Cat. 18";81;8;8;"2022-11-07 00:00:00.000000"
40;Headphones;"Cat. 40";43;15;7;"2022-11-07 00:00:00.000000"
97;"School Supplies";"Cat. 97";19;21;21;"2022-11-07 00:00:00.000000"
39;Hardware;"Cat. 39";37;23;23;"2022-11-07 00:00:00.000000"
41;Hobbies;"Cat. 41";41;24;24;"2022-11-07 00:00:00.000000"
23;"Drums & Percussion";"Cat. 23";74;15;15;"2022-11-14 00:00:00.000000"
45;"Industrial Electrical";"Cat. 45";69;7;13;"2022-11-21 00:00:00.000000"
79;"Personal Care";"Cat. 79";62;4;4;"2022-11-17 00:00:00.000000"
79;"Personal Care";"Cat. 79";62;4;4;"2022-11-27 00:00:00.000000"
20;"Dolls & Accessories";"Cat. 20";48;24;24;"2022-11-21 00:00:00.000000"
72;"Outdoor Recreation";"Cat. 72";71;22;22;"2022-11-22 00:00:00.000000"
69;"Office Electronics";"Cat. 69";56;7;16;"2022-11-07 00:00:00.000000"
81;"Pet Supplies Markdowns";"Cat. 81";72;18;18;"2022-11-07 00:00:00.000000"
49;"Kids' Electronics";"Cat. 49";67;24;24;"2022-11-07 00:00:00.000000"
58;Makeup;"Cat. 58";60;4;4;"2022-11-07 00:00:00.000000"
13;"Cell Phones";"Cat. 13";50;7;7;"2022-11-07 00:00:00.000000"
113;"Toy Figures & Playsets";"Cat. 113";45;24;24;"2022-11-07 00:00:00.000000"
5;"Baby & Toddler Toys";"Cat. 5";92;24;24;"2022-11-19 00:00:00.000000"
12;"Camera & Photo";"Cat. 12";5;7;7;"2022-11-07 00:00:00.000000"
67;"Office & School Supplies";"Cat. 67";6;16;16;"2022-11-11 00:00:00.000000"
9;Blu-ray;"Cat. 9";5;14;14;"2022-11-07 00:00:00.000000"
46;"Interior Accessories";"Cat. 46";11;2;2;"2022-11-07 00:00:00.000000"
11;"Building Toys";"Cat. 11";8;24;24;"2022-11-07 00:00:00.000000"
34;"Gardening & Lawn Care";"Cat. 34";3;17;17;"2022-11-07 00:00:00.000000"
111;"Tools & Accessories";"Cat. 111";12;4;4;"2022-11-07 00:00:00.000000"
105;"Sports & Outdoor Play";"Cat. 105";14;24;24;"2022-11-15 00:00:00.000000"
109;"Stuffed Animals & Plush Toys";"Cat. 109";11;24;24;"2022-11-07 00:00:00.000000"
78;"Patio Furniture & Accessories";"Cat. 78";12;17;17;"2022-11-12 00:00:00.000000"
118;;"Cat. 118";35;;26;"2022-11-07 00:00:00.000000"
71;"Outdoor Décor";"Cat. 71";88;17;17;"2022-11-12 00:00:00.000000"
77;"Party Supplies";"Cat. 77";81;24;24;"2022-11-26 00:00:00.000000"
118;;"Cat. 118";76;;26;"2022-11-17 00:00:00.000000"
56;"Lighting & Ceiling Fans";"Cat. 56";90;23;23;"2022-11-14 00:00:00.000000"
81;"Pet Supplies Markdowns";"Cat. 81";14;18;18;"2022-11-16 00:00:00.000000"
93;"Remote & App Controlled Vehicle Parts";"Cat. 93";89;20;20;"2022-11-16 00:00:00.000000"
80;"Pet Supplies";"Cat. 80";90;8;8;"2022-11-16 00:00:00.000000"
61;"Microphones & Accessories";"Cat. 61";76;7;15;"2022-11-10 00:00:00.000000"
27;Fabric;"Cat. 27";103;1;1;"2022-11-10 00:00:00.000000"
28;"Fan Shop";"Cat. 28";23;22;22;"2022-11-18 00:00:00.000000"
63;"Nintendo Switch";"Cat. 63";25;25;25;"2022-11-21 00:00:00.000000"
65;"Novelty & More";"Cat. 65";22;6;6;"2022-11-18 00:00:00.000000"
59;"Medical Supplies & Equipment";"Cat. 59";79;10;10;"2022-11-07 00:00:00.000000"
83;"Pools, Hot Tubs & Supplies";"Cat. 83";88;17;17;"2022-11-07 00:00:00.000000"
50;"Kids' Furniture, Décor & Storage";"Cat. 50";90;24;24;"2022-11-18 00:00:00.000000"
61;"Microphones & Accessories";"Cat. 61";76;7;15;"2022-11-07 00:00:00.000000"
86;"Power & Hand Tools";"Cat. 86";96;23;23;"2022-11-07 00:00:00.000000"
13;"Cell Phones";"Cat. 13";91;7;7;"2022-11-07 00:00:00.000000"
15;"Computers & Accessories";"Cat. 15";79;7;7;"2022-11-07 00:00:00.000000"
72;"Outdoor Recreation";"Cat. 72";88;22;22;"2022-11-07 00:00:00.000000"
56;"Lighting & Ceiling Fans";"Cat. 56";90;23;23;"2022-11-18 00:00:00.000000"
101;Sewing;"Cat. 101";76;1;1;"2022-11-07 00:00:00.000000"
6;"Baby Care";"Cat. 6";96;3;3;"2022-11-07 00:00:00.000000"
83;"Pools, Hot Tubs & Supplies";"Cat. 83";30;17;17;"2022-11-17 00:00:00.000000"
19;Dogs;"Cat. 19";24;18;18;"2022-11-20 00:00:00.000000"
51;"Kids' Home Store";"Cat. 51";59;12;12;"2022-11-07 00:00:00.000000"
43;"Home Décor";"Cat. 43";54;12;12;"2022-11-07 00:00:00.000000"
89;Printmaking;"Cat. 89";57;1;1;"2022-11-26 00:00:00.000000"
48;"Kids & Baby";"Cat. 48";66;8;8;"2022-11-26 00:00:00.000000"
106;"Stationery & Gift Wrapping Supplies";"Cat. 106";63;10;10;"2022-11-26 00:00:00.000000"
55;"Legacy Systems";"Cat. 55";57;25;25;"2022-11-26 00:00:00.000000"
110;"Tailgate & Spirit";"Cat. 110";57;8;8;"2022-11-26 00:00:00.000000"
60;Men;"Cat. 60";40;6;6;"2022-11-08 00:00:00.000000"
115;"Wall Art";"Cat. 115";37;12;12;"2022-11-16 00:00:00.000000"
32;Furniture;"Cat. 32";83;12;12;"2022-11-16 00:00:00.000000"
3;"Arts & Crafts";"Cat. 3";116;24;24;"2022-11-26 00:00:00.000000"
88;"Power Transmission Products";"Cat. 88";82;13;13;"2022-11-27 00:00:00.000000"
75;"Painting, Drawing & Art Supplies";"Cat. 75";50;1;1;"2022-11-25 00:00:00.000000"
94;"Remote & App Controlled Vehicles & Parts";"Cat. 94";24;11;11;"2022-11-15 00:00:00.000000"
27;Fabric;"Cat. 27";103;1;1;"2022-11-24 00:00:00.000000"
52;"Kitchen & Dining";"Cat. 52";19;12;12;"2022-11-11 00:00:00.000000"
61;"Microphones & Accessories";"Cat. 61";18;7;15;"2022-11-22 00:00:00.000000"
9;Blu-ray;"Cat. 9";87;14;14;"2022-11-23 00:00:00.000000"
37;Golf;"Cat. 37";17;8;8;"2022-11-07 00:00:00.000000"
100;"Seasonal Décor";"Cat. 100";26;12;12;"2022-11-07 00:00:00.000000"
15;"Computers & Accessories";"Cat. 15";21;7;7;"2022-11-07 00:00:00.000000"
72;"Outdoor Recreation";"Cat. 72";30;22;22;"2022-11-07 00:00:00.000000"
101;Sewing;"Cat. 101";18;1;1;"2022-11-07 00:00:00.000000"
65;"Novelty & More";"Cat. 65";22;6;6;"2022-11-07 00:00:00.000000"
53;"Lab & Scientific Products";"Cat. 53";17;13;13;"2022-11-07 00:00:00.000000"
31;"Foot, Hand & Nail Care";"Cat. 31";92;4;4;"2022-11-07 00:00:00.000000"
10;Boys;"Cat. 10";84;6;6;"2022-11-07 00:00:00.000000"
47;Kids;"Cat. 47";64;6;6;"2022-11-07 00:00:00.000000"
55;"Legacy Systems";"Cat. 55";57;25;25;"2022-11-07 00:00:00.000000"
109;"Stuffed Animals & Plush Toys";"Cat. 109";52;24;24;"2022-11-07 00:00:00.000000"
2;"Activity & Entertainment";"Cat. 2";86;3;3;"2022-11-07 00:00:00.000000"
94;"Remote & App Controlled Vehicles & Parts";"Cat. 94";24;11;11;"2022-11-07 00:00:00.000000"
106;"Stationery & Gift Wrapping Supplies";"Cat. 106";105;10;10;"2022-11-13 00:00:00.000000"
59;"Medical Supplies & Equipment";"Cat. 59";21;10;10;"2022-11-15 00:00:00.000000"
79;"Personal Care";"Cat. 79";104;4;4;"2022-11-24 00:00:00.000000"
19;Dogs;"Cat. 19";24;18;18;"2022-11-07 00:00:00.000000"
30;Feeding;"Cat. 30";27;3;3;"2022-11-07 00:00:00.000000"
35;Gifts;"Cat. 35";78;3;3;"2022-11-27 00:00:00.000000"
108;"Strollers & Accessories";"Cat. 108";89;3;3;"2022-11-26 00:00:00.000000"
104;"Sports & Fitness";"Cat. 104";93;22;22;"2022-11-17 00:00:00.000000"
97;"School Supplies";"Cat. 97";60;21;21;"2022-11-16 00:00:00.000000"
89;Printmaking;"Cat. 89";57;1;1;"2022-11-24 00:00:00.000000"
56;"Lighting & Ceiling Fans";"Cat. 56";73;23;23;"2022-11-25 00:00:00.000000"
53;"Lab & Scientific Products";"Cat. 53";99;13;13;"2022-11-18 00:00:00.000000"
87;"Power Plant & Driveline Systems";"Cat. 87";87;19;19;"2022-11-07 00:00:00.000000"
25;"Event & Party Supplies";"Cat. 25";87;12;12;"2022-11-07 00:00:00.000000"
23;"Drums & Percussion";"Cat. 23";33;15;15;"2022-11-15 00:00:00.000000"
2;"Activity & Entertainment";"Cat. 2";28;3;3;"2022-11-07 00:00:00.000000"
7;"Beading & Jewelry Making";"Cat. 7";39;1;1;"2022-11-07 00:00:00.000000"
56;"Lighting & Ceiling Fans";"Cat. 56";32;23;23;"2022-11-07 00:00:00.000000"
76;"Pantry Staples";"Cat. 76";36;9;9;"2022-11-07 00:00:00.000000"
28;"Fan Shop";"Cat. 28";40;22;22;"2022-11-07 00:00:00.000000"
45;"Industrial Electrical";"Cat. 45";28;7;13;"2022-11-07 00:00:00.000000"
56;"Lighting & Ceiling Fans";"Cat. 56";90;23;23;"2022-11-07 00:00:00.000000"
57;"Luggage & Travel Gear";"Cat. 57";89;6;6;"2022-11-07 00:00:00.000000"
94;"Remote & App Controlled Vehicles & Parts";"Cat. 94";82;11;11;"2022-11-07 00:00:00.000000"
26;"Exterior Accessories";"Cat. 26";75;2;2;"2022-11-07 00:00:00.000000"
60;Men;"Cat. 60";98;6;6;"2022-11-07 00:00:00.000000"
52;"Kitchen & Dining";"Cat. 52";77;12;12;"2022-11-07 00:00:00.000000"
36;Girls;"Cat. 36";25;6;6;"2022-11-07 00:00:00.000000"
38;"Hair Care";"Cat. 38";15;4;4;"2022-11-07 00:00:00.000000"
24;Electrical;"Cat. 24";29;23;23;"2022-11-07 00:00:00.000000"
106;"Stationery & Gift Wrapping Supplies";"Cat. 106";63;10;10;"2022-11-22 00:00:00.000000"
45;"Industrial Electrical";"Cat. 45";69;7;13;"2022-11-11 00:00:00.000000"
79;"Personal Care";"Cat. 79";62;4;4;"2022-11-22 00:00:00.000000"
82;"Play Vehicles";"Cat. 82";3;24;24;"2022-11-07 00:00:00.000000"
62;Needlework;"Cat. 62";12;1;1;"2022-11-07 00:00:00.000000"
61;"Microphones & Accessories";"Cat. 61";76;7;15;"2022-11-15 00:00:00.000000"
80;"Pet Supplies";"Cat. 80";90;8;8;"2022-11-24 00:00:00.000000"
50;"Kids' Furniture, Décor & Storage";"Cat. 50";90;24;24;"2022-11-13 00:00:00.000000"
26;"Exterior Accessories";"Cat. 26";17;2;2;"2022-11-08 00:00:00.000000"
4;"Auto Accessories";"Cat. 4";10;8;8;"2022-11-09 00:00:00.000000"
99;"Scrapbooking & Stamping";"Cat. 99";79;1;1;"2022-11-10 00:00:00.000000"
104;"Sports & Fitness";"Cat. 104";93;22;22;"2022-11-09 00:00:00.000000"
104;"Sports & Fitness";"Cat. 104";93;22;22;"2022-11-25 00:00:00.000000"
5;"Baby & Toddler Toys";"Cat. 5";10;24;24;"2022-11-07 00:00:00.000000"
56;"Lighting & Ceiling Fans";"Cat. 56";90;23;23;"2022-11-08 00:00:00.000000"
105;"Sports & Outdoor Play";"Cat. 105";14;24;24;"2022-11-07 00:00:00.000000"
108;"Strollers & Accessories";"Cat. 108";7;3;3;"2022-11-07 00:00:00.000000"
117;"Xbox One";"Cat. 117";9;25;25;"2022-11-07 00:00:00.000000"
95;"Replacement Parts";"Cat. 95";2;2;2;"2022-11-07 00:00:00.000000"
59;"Medical Supplies & Equipment";"Cat. 59";21;10;10;"2022-11-27 00:00:00.000000"
113;"Toy Figures & Playsets";"Cat. 113";86;24;24;"2022-11-09 00:00:00.000000"
38;"Hair Care";"Cat. 38";56;4;4;"2022-11-10 00:00:00.000000"
62;Needlework;"Cat. 62";53;1;1;"2022-11-25 00:00:00.000000"
34;"Gardening & Lawn Care";"Cat. 34";85;17;17;"2022-11-20 00:00:00.000000"
106;"Stationery & Gift Wrapping Supplies";"Cat. 106";63;10;10;"2022-11-10 00:00:00.000000"
2;"Activity & Entertainment";"Cat. 2";69;3;3;"2022-11-18 00:00:00.000000"
78;"Patio Furniture & Accessories";"Cat. 78";70;17;17;"2022-11-07 00:00:00.000000"
106;"Stationery & Gift Wrapping Supplies";"Cat. 106";63;10;10;"2022-11-07 00:00:00.000000"
80;"Pet Supplies";"Cat. 80";49;8;8;"2022-11-07 00:00:00.000000"
53;"Lab & Scientific Products";"Cat. 53";58;13;13;"2022-11-07 00:00:00.000000"
104;"Sports & Fitness";"Cat. 104";93;22;22;"2022-11-21 00:00:00.000000"
61;"Microphones & Accessories";"Cat. 61";76;7;15;"2022-11-25 00:00:00.000000"
56;"Lighting & Ceiling Fans";"Cat. 56";90;23;23;"2022-11-16 00:00:00.000000"
59;"Medical Supplies & Equipment";"Cat. 59";21;10;10;"2022-11-20 00:00:00.000000"
58;Makeup;"Cat. 58";102;4;4;"2022-11-21 00:00:00.000000"
39;Hardware;"Cat. 39";20;23;23;"2022-11-25 00:00:00.000000"
16;"Costumes & Accessories";"Cat. 16";77;6;6;"2022-11-07 00:00:00.000000"
50;"Kids' Furniture, Décor & Storage";"Cat. 50";90;24;24;"2022-11-07 00:00:00.000000"
93;"Remote & App Controlled Vehicle Parts";"Cat. 93";89;20;20;"2022-11-07 00:00:00.000000"
41;Hobbies;"Cat. 41";82;24;24;"2022-11-07 00:00:00.000000"
17;Crafting;"Cat. 17";75;1;1;"2022-11-07 00:00:00.000000"
110;"Tailgate & Spirit";"Cat. 110";98;8;8;"2022-11-07 00:00:00.000000"
85;"Potty Training";"Cat. 85";33;3;3;"2022-11-09 00:00:00.000000"
49;"Kids' Electronics";"Cat. 49";26;24;24;"2022-11-07 00:00:00.000000"
79;"Personal Care";"Cat. 79";21;4;4;"2022-11-07 00:00:00.000000"
96;"School Accessories";"Cat. 96";30;8;8;"2022-11-07 00:00:00.000000"
92;Puzzles;"Cat. 92";18;24;24;"2022-11-07 00:00:00.000000"
64;"Novelty & Gag Toys";"Cat. 64";22;24;24;"2022-11-07 00:00:00.000000"
10;Boys;"Cat. 10";26;6;6;"2022-11-10 00:00:00.000000"
102;"Shoe, Jewelry & Watch Accessories";"Cat. 102";107;6;6;"2022-11-17 00:00:00.000000"
90;"Professional Medical Supplies";"Cat. 90";104;13;13;"2022-11-21 00:00:00.000000"
90;"Professional Medical Supplies";"Cat. 90";104;13;13;"2022-11-27 00:00:00.000000"
70;"Ornaments & Holiday";"Cat. 70";42;8;8;"2022-11-18 00:00:00.000000"
112;"Top Selection from AmazonPets";"Cat. 112";43;18;18;"2022-11-27 00:00:00.000000"
28;"Fan Shop";"Cat. 28";81;22;22;"2022-11-07 00:00:00.000000"
85;"Potty Training";"Cat. 85";91;3;3;"2022-11-07 00:00:00.000000"
70;"Ornaments & Holiday";"Cat. 70";42;8;8;"2022-11-12 00:00:00.000000"
112;"Top Selection from AmazonPets";"Cat. 112";43;18;18;"2022-11-26 00:00:00.000000"
63;"Nintendo Switch";"Cat. 63";83;25;25;"2022-11-14 00:00:00.000000"
105;"Sports & Outdoor Play";"Cat. 105";114;24;24;"2022-11-21 00:00:00.000000"
7;"Beading & Jewelry Making";"Cat. 7";80;1;1;"2022-11-24 00:00:00.000000"
107;"Storage & Organization";"Cat. 107";27;12;12;"2022-11-24 00:00:00.000000"
96;"School Accessories";"Cat. 96";113;8;8;"2022-11-26 00:00:00.000000"
63;"Nintendo Switch";"Cat. 63";83;25;25;"2022-11-09 00:00:00.000000"
1;Accessories;"Cat. 1";41;6;6;"2022-11-22 00:00:00.000000"
45;"Industrial Electrical";"Cat. 45";111;7;13;"2022-11-23 00:00:00.000000"
23;"Drums & Percussion";"Cat. 23";33;15;15;"2022-11-07 00:00:00.000000"
23;"Drums & Percussion";"Cat. 23";33;15;15;"2022-11-19 00:00:00.000000"
35;Gifts;"Cat. 35";37;3;3;"2022-11-07 00:00:00.000000"
63;"Nintendo Switch";"Cat. 63";83;25;25;"2022-11-19 00:00:00.000000"
88;"Power Transmission Products";"Cat. 88";41;13;13;"2022-11-07 00:00:00.000000"
6;"Baby Care";"Cat. 6";38;3;3;"2022-11-13 00:00:00.000000"
6;"Baby Care";"Cat. 6";38;3;3;"2022-11-19 00:00:00.000000"
3;"Arts & Crafts";"Cat. 3";33;24;24;"2022-11-07 00:00:00.000000"
89;Printmaking;"Cat. 89";74;1;1;"2022-11-07 00:00:00.000000"
114;"Tricycles, Scooters & Wagons";"Cat. 114";53;24;24;"2022-11-07 00:00:00.000000"
21;"Dress Up & Pretend Play";"Cat. 21";71;24;24;"2022-11-07 00:00:00.000000"
67;"Office & School Supplies";"Cat. 67";64;16;16;"2022-11-07 00:00:00.000000"
90;"Professional Medical Supplies";"Cat. 90";104;13;13;"2022-11-15 00:00:00.000000"
90;"Professional Medical Supplies";"Cat. 90";104;13;13;"2022-11-18 00:00:00.000000"
65;"Novelty & More";"Cat. 65";22;6;6;"2022-11-24 00:00:00.000000"
62;Needlework;"Cat. 62";53;1;1;"2022-11-17 00:00:00.000000"
101;Sewing;"Cat. 101";59;1;1;"2022-11-27 00:00:00.000000"
45;"Industrial Electrical";"Cat. 45";69;7;13;"2022-11-26 00:00:00.000000"
110;"Tailgate & Spirit";"Cat. 110";57;8;8;"2022-11-17 00:00:00.000000"
33;"Games & Accessories";"Cat. 33";39;24;24;"2022-11-07 00:00:00.000000"
44;"Household Supplies";"Cat. 44";32;10;10;"2022-11-07 00:00:00.000000"
13;"Cell Phones";"Cat. 13";50;7;7;"2022-11-13 00:00:00.000000"
13;"Cell Phones";"Cat. 13";50;7;7;"2022-11-19 00:00:00.000000"
13;"Cell Phones";"Cat. 13";50;7;7;"2022-11-22 00:00:00.000000"
16;"Costumes & Accessories";"Cat. 16";36;6;6;"2022-11-07 00:00:00.000000"
64;"Novelty & Gag Toys";"Cat. 64";63;24;24;"2022-11-23 00:00:00.000000"
54;"Learning & Education";"Cat. 54";49;24;24;"2022-11-11 00:00:00.000000"
29;Fasteners;"Cat. 29";72;13;13;"2022-11-11 00:00:00.000000"
18;"Diploma Frames";"Cat. 18";64;8;8;"2022-11-23 00:00:00.000000"
73;PC;"Cat. 73";20;25;25;"2022-11-07 00:00:00.000000"
102;"Shoe, Jewelry & Watch Accessories";"Cat. 102";24;6;6;"2022-11-07 00:00:00.000000"
90;"Professional Medical Supplies";"Cat. 90";104;13;13;"2022-11-24 00:00:00.000000"
22;Drinkware;"Cat. 22";27;8;8;"2022-11-07 00:00:00.000000"
66;Nursery;"Cat. 66";20;3;3;"2022-11-07 00:00:00.000000"
55;"Legacy Systems";"Cat. 55";57;25;25;"2022-11-08 00:00:00.000000"
44;"Household Supplies";"Cat. 44";73;10;10;"2022-11-15 00:00:00.000000"
110;"Tailgate & Spirit";"Cat. 110";57;8;8;"2022-11-08 00:00:00.000000"
110;"Tailgate & Spirit";"Cat. 110";57;8;8;"2022-11-11 00:00:00.000000"
110;"Tailgate & Spirit";"Cat. 110";57;8;8;"2022-11-23 00:00:00.000000"
54;"Learning & Education";"Cat. 54";8;24;24;"2022-11-07 00:00:00.000000"
68;"Office & Travel";"Cat. 68";34;8;8;"2022-11-23 00:00:00.000000"
23;"Drums & Percussion";"Cat. 23";33;15;15;"2022-11-11 00:00:00.000000"
8;Bedding;"Cat. 8";93;12;12;"2022-11-08 00:00:00.000000"
104;"Sports & Fitness";"Cat. 104";93;22;22;"2022-11-13 00:00:00.000000"
116;Women;"Cat. 116";10;6;6;"2022-11-07 00:00:00.000000"
50;"Kids' Furniture, Décor & Storage";"Cat. 50";90;24;24;"2022-11-08 00:00:00.000000"
50;"Kids' Furniture, Décor & Storage";"Cat. 50";90;24;24;"2022-11-23 00:00:00.000000"
98;"Science Education";"Cat. 98";14;13;13;"2022-11-07 00:00:00.000000"
20;"Dolls & Accessories";"Cat. 20";7;24;24;"2022-11-07 00:00:00.000000"
75;"Painting, Drawing & Art Supplies";"Cat. 75";9;1;1;"2022-11-07 00:00:00.000000"
112;"Top Selection from AmazonPets";"Cat. 112";2;18;18;"2022-11-07 00:00:00.000000"
50;"Kids' Furniture, Décor & Storage";"Cat. 50";32;24;24;"2022-11-20 00:00:00.000000"
13;"Cell Phones";"Cat. 13";50;7;7;"2022-11-10 00:00:00.000000"
47;Kids;"Cat. 47";106;6;6;"2022-11-27 00:00:00.000000"
102;"Shoe, Jewelry & Watch Accessories";"Cat. 102";65;6;6;"2022-11-07 00:00:00.000000"
105;"Sports & Outdoor Play";"Cat. 105";55;24;24;"2022-11-07 00:00:00.000000"
108;"Strollers & Accessories";"Cat. 108";48;3;3;"2022-11-07 00:00:00.000000"
